YearStart,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValue
2010,MD,Maryland,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4208
2012,NM,New Mexico,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1568
2017,NJ,New Jersey,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5999
2013,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2799
2013,NJ,New Jersey,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5803
2010,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1192
2018,MT,Montana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,683
2016,FL,Florida,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,12339
2018,IA,Iowa,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2387
2017,NY,New York,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,9365
2010,DC,District of Columbia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,448
2010,FL,Florida,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,12962
2016,HI,Hawaii,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,838
2018,NV,Nevada,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1584
2015,AL,Alabama,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3406
2012,AL,Alabama,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4513
2016,RI,Rhode Island,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,802
2013,NE,Nebraska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1207
2016,PA,Pennsylvania,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,10799
2014,MA,Massachusetts,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4350
2013,KY,Kentucky,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3470
2016,GA,Georgia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5449
2011,ND,North Dakota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,827
2018,MA,Massachusetts,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4712
2015,DE,Delaware,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,656
2013,MS,Mississippi,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2180
2015,FL,Florida,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,11943
2013,ND,North Dakota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,609
2016,NM,New Mexico,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1148
2014,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,911
2017,NH,New Hampshire,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,924
2018,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1069
2011,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2928
2013,NH,New Hampshire,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,857
2013,MD,Maryland,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3272
2013,MI,Michigan,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6397
2014,FL,Florida,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,11267
2011,CO,Colorado,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2697
2018,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3090
2015,MS,Mississippi,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2221
2013,OK,Oklahoma,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2857
2014,MT,Montana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,607
2014,NJ,New Jersey,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5708
2010,ID,Idaho,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,981
2018,NC,North Carolina,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,7683
2016,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3599
2017,MS,Mississippi,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2177
2017,RI,Rhode Island,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,856
2011,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3354
2015,HI,Hawaii,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,805
2010,PA,Pennsylvania,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,12254
2017,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2514
2014,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2887
2013,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,267
2011,GA,Georgia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6782
2013,MA,Massachusetts,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4333
2018,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,269
2010,IL,Illinois,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,9575
2012,NV,Nevada,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1443
2010,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,292
2011,NY,New York,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,13451
2016,DC,District of Columbia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,335
2015,ID,Idaho,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,898
2011,AL,Alabama,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4748
2015,MD,Maryland,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3425
2016,OK,Oklahoma,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2967
2011,KY,Kentucky,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4685
2011,FL,Florida,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,13925
2018,MD,Maryland,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4044
2015,CO,Colorado,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2397
2016,NV,Nevada,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1389
2015,ND,North Dakota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,606
2010,MA,Massachusetts,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5128
2011,HI,Hawaii,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1200
2015,NE,Nebraska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1470
2016,NJ,New Jersey,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5798
2014,PA,Pennsylvania,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,10394
2013,IN,Indiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5947
2010,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,25776
2011,NH,New Hampshire,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1141
2010,MS,Mississippi,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2725
2018,GA,Georgia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6092
2014,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8505
2015,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,980
2010,NY,New York,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,11635
2016,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2820
2015,MO,Missouri,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4716
2014,CT,Connecticut,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2233
2018,HI,Hawaii,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,874
2016,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,909
2012,CO,Colorado,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2672
2015,NM,New Mexico,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1175
2012,MD,Maryland,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4532
2016,MN,Minnesota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3678
2012,HI,Hawaii,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1223
2011,MT,Montana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,693
2012,MA,Massachusetts,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5249
2013,FL,Florida,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,11244
2018,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,23232
2015,NY,New York,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,9248
2011,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4192
2017,DC,District of Columbia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,329
2013,RI,Rhode Island,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,782
2018,ID,Idaho,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1023
2010,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,10935
2015,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,22033
2015,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2908
2017,DE,Delaware,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,739
2012,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3567
2015,NH,New Hampshire,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,902
2018,NH,New Hampshire,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1000
2016,MI,Michigan,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6760
2014,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,247
2010,NC,North Carolina,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8055
2012,GA,Georgia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6955
2011,OR,Oregon,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3422
2012,DC,District of Columbia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,531
2016,MO,Missouri,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4775
2016,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,298
2010,MT,Montana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,611
2014,NH,New Hampshire,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,869
2013,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8355
2013,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2949
2017,IA,Iowa,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2470
2018,NM,New Mexico,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1268
2018,FL,Florida,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,13209
2013,DC,District of Columbia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,291
2015,OR,Oregon,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2646
2010,SC,South Carolina,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4426
2012,FL,Florida,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,14210
2014,MD,Maryland,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3268
2011,CT,Connecticut,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2861
2015,RI,Rhode Island,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,791
2016,KY,Kentucky,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4309
2011,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1175
2011,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,30435
2016,KS,Kansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1989
2017,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,931
2013,DE,Delaware,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,642
2015,DC,District of Columbia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,310
2018,IL,Illinois,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8341
2013,NY,New York,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,9503
2017,GA,Georgia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5692
2018,PA,Pennsylvania,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,10954
2018,DC,District of Columbia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,349
2014,NV,Nevada,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1226
2013,GA,Georgia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5562
2012,MI,Michigan,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8765
2010,CO,Colorado,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2377
2011,MD,Maryland,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4696
2016,NC,North Carolina,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,7333
2017,NV,Nevada,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1507
2012,KS,Kansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2382
2013,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1015
2017,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8993
2014,DE,Delaware,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,677
2013,MT,Montana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,590
2018,CT,Connecticut,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2294
2012,NJ,New Jersey,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,7529
2016,CO,Colorado,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2963
2017,MA,Massachusetts,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4699
2012,KY,Kentucky,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4780
2018,DE,Delaware,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,812
2014,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,20656
2017,NM,New Mexico,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1267
2018,MS,Mississippi,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2357
2014,MI,Michigan,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6713
2017,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,23179
2012,OR,Oregon,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3478
2012,ND,North Dakota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,832
2014,ID,Idaho,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,824
2012,DE,Delaware,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,764
2012,RI,Rhode Island,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1019
2016,ND,North Dakota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,625
2018,MO,Missouri,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5048
2010,GA,Georgia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6123
2016,OR,Oregon,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2766
2014,MN,Minnesota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3438
2015,KS,Kansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2000
2017,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,280
2011,DC,District of Columbia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,552
2012,CT,Connecticut,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2705
2011,IL,Illinois,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,10159
2017,NC,North Carolina,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,7678
2015,IA,Iowa,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2148
2012,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,31261
2014,CO,Colorado,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2309
2017,ND,North Dakota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,616
2010,KY,Kentucky,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4137
2010,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2567
2016,CT,Connecticut,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2360
2012,NY,New York,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,13168
2017,OR,Oregon,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2923
2013,NM,New Mexico,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1086
2011,PA,Pennsylvania,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,13486
2014,KY,Kentucky,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3769
2012,MN,Minnesota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5080
2011,IN,Indiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,7060
2016,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8824
2014,HI,Hawaii,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,879
2010,HI,Hawaii,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1076
2013,IL,Illinois,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,7868
2018,NE,Nebraska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1687
2013,NV,Nevada,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1201
2011,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,332
2014,IL,Illinois,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,7908
2018,MN,Minnesota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4181
2013,MO,Missouri,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4391
2017,MD,Maryland,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3844
2018,MI,Michigan,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,7043
2015,IN,Indiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6253
2010,NV,Nevada,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1337
2017,FL,Florida,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,12756
2015,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8598
2010,KS,Kansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2150
2011,IA,Iowa,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2830
2010,MI,Michigan,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8166
2010,OR,Oregon,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2890
2014,MS,Mississippi,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2115
2017,PA,Pennsylvania,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,10717
2013,PA,Pennsylvania,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,10415
2014,IN,Indiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5859
2013,CT,Connecticut,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2215
2012,ME,Maine,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1256
2018,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2546
2011,NM,New Mexico,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1494
2016,AL,Alabama,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3412
2016,NH,New Hampshire,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,783
2014,IA,Iowa,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2037
2014,GA,Georgia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5257
2018,KY,Kentucky,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4660
2016,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,22587
2010,IN,Indiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,5438
2013,MN,Minnesota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3370
2012,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4309
2012,NE,Nebraska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1770
2016,DE,Delaware,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,760
2010,IA,Iowa,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2422
2010,MN,Minnesota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4158
2011,DE,Delaware,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,827
2014,MO,Missouri,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,4652
2012,MT,Montana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,681
2017,MN,Minnesota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3990
2011,NC,North Carolina,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,9044
2015,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3293
2014,NM,New Mexico,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1056
2015,IL,Illinois,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8150
2012,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,12354
2016,IA,Iowa,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2222
2014,RI,Rhode Island,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,772
2013,OR,Oregon,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2372
2013,CA,California,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,20644
2018,CO,Colorado,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3701
2017,CT,Connecticut,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2300
2014,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2303
2017,AZ,Arizona,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3554
2018,ND,North Dakota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,639
2010,NH,New Hampshire,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1053
2016,IN,Indiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6103
2013,AL,Alabama,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3634
2010,NE,Nebraska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1627
2018,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8918
2017,AL,Alabama,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3434
2012,ID,Idaho,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1104
2010,ND,North Dakota,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,781
2012,AR,Arkansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2961
2017,LA,Louisiana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2893
2017,KS,Kansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2263
2010,OK,Oklahoma,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,3165
2015,AK,Alaska,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,287
2014,NC,North Carolina,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,7015
2018,OR,Oregon,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2933
2014,DC,District of Columbia,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,277
2015,MT,Montana,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,628
2014,OK,Oklahoma,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2738
2010,NJ,New Jersey,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,6999
2018,RI,Rhode Island,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,819
2014,NY,New York,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,9333
2014,OR,Oregon,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,2556
2011,MI,Michigan,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,8967
2013,KS,Kansas,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1867
2010,NM,New Mexico,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,1373
